from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-1474,ZOOKEEPER-1236,is related to,Reference,inward
HADOOP-7211,ZOOKEEPER-1236,is related to,Reference,inward
ZOOKEEPER-1285,ZOOKEEPER-1230,is depended upon by,dependent,inward
ZOOKEEPER-1285,ZOOKEEPER-1228,is depended upon by,dependent,inward
ZOOKEEPER-1227,ZOOKEEPER-1213,incorporates,Incorporates,outward
ZOOKEEPER-1227,ZOOKEEPER-1213,is part of,Incorporates,inward
ZOOKEEPER-1205,ZOOKEEPER-1174,relates to,Reference,outward
ZOOKEEPER-1205,ZOOKEEPER-1181,relates to,Reference,outward
ZOOKEEPER-1205,HADOOP-8078,relates to,Reference,outward
ZOOKEEPER-1205,HDFS-3016,relates to,Reference,outward
